feature_1,feature_2,feature_3,feature_4,target
-1.39830539918138,-1.029688609803278,0.06994134385391537,-0.26613475682412213,0
-0.1019227613315764,-1.048378480978551,0.3867908644951582,-1.0564255900603294,1
-2.2872747243874727,-3.1009968748292978,-0.9054879831719087,0.14050325356527749,2
-1.0001634598542568,-1.6951987306146186,1.0113521073655847,-1.8580913752549677,1
-0.5234779813003527,-1.637074583787253,1.4148707623457153,-0.4624630771124185,1
-2.4794242501953443,-1.5737440994850058,-0.07243405872168229,0.35571290165007274,2
-1.187620386446064,-1.0465416167315809,-0.23662902880415826,-0.9136512848084752,0
-2.657323088040469,-2.753939698104336,1.8079260297365223,-0.011441269047742453,0
0.14932810911191052,-0.6414876901134776,1.6817705076192837,1.1088852351141179,2
-0.9637944754923952,-1.1246422224908474,-1.406486992708842,-0.4186203820069688,0
-1.2262601672986853,-1.74554621812855,1.1844816175483857,-0.4467356454357999,1
-2.7310637990954323,-2.904469911493633,1.3763461426661818,1.392007691102891,0
-3.53945185104822,-1.533185757673555,2.0984713609915966,-2.0369264611968463,1
1.3428233782334895,-0.7793975671455751,1.171414928362154,0.1798822524885022,1
-1.548029864243409,-2.5778994734571454,0.06843192963852285,0.21555561677288948,2
1.0163895162175454,-0.6511589148618246,0.6529271286507559,-0.3908194318028867,1
-0.5195916625406376,-0.8391593551589751,-1.9425738346632948,-2.1348581148713954,0
0.1200475627829356,0.6149814380897307,1.903849753388983,1.145952847015462,2
-1.8661637722884825,-1.4465880703090082,0.9421048001518385,-1.5361400334678104,1
-3.3126975667792817,-2.2571518292259807,0.8493652954510902,-1.4287238473002946,1
-0.38173247295198565,-0.6986615923807385,-2.341041674348079,-1.788238871843689,0
-2.504002495095315,-0.7805572341672695,0.21258054742091448,0.2050336647269364,2
0.00035882151950361596,-1.1698874169376605,0.8202306791482605,0.5081898342893361,1
-0.7902261706522129,-2.0290205972930897,0.6207705405037118,1.1981728942892875,2
-1.5912885537718167,-1.213092934979507,0.30141178299212545,-0.10043738068302555,0
-3.0688621828607423,-1.7075552192823777,0.18589308305573937,-0.344846998886015,2
-0.0283950297785569,-0.08435089548646779,-2.6915761028243983,-1.6719902226552474,0
-1.2334556270877846,-0.607088663890416,1.342843497411496,-1.8028791274599176,1
0.643546758999785,1.187927619540302,2.960178291927371,2.9465905245049484,2
0.7638638502751638,-0.40866843052717194,0.6172303936454442,-0.7284799622285935,1
-1.9777232144952777,-1.9021835375471678,0.16297174715390428,0.6791427667383895,2
-0.9285049299995523,-0.9983611143654114,1.3948912780400895,-1.846791057671763,1
-0.5864283036062063,-3.1831545639712897,-0.0365563593213758,0.7518527310118437,2
-0.793989615229838,-1.163673193363318,0.40476969335411117,0.9105699454074847,2
-2.061314947140851,-2.0363978852747104,-0.1889218411071223,0.009653110528021647,2
-2.3983340003069182,-1.5950985847241048,2.5665153503265454,0.5813409326849048,0
-0.22578152959106046,1.6324531968138625,3.092233810161768,2.2716706550714116,2
-1.9914626822411035,-0.9331838343335034,1.6192715319130069,-2.376739611915557,1
1.1778714761038116,-0.586708762714208,0.6424420827087673,-0.10690440731012374,1
-0.4248596241527659,0.11797788493991823,-1.3373946705794215,-1.4148484475775938,0
-2.22286899799702,-1.1848861945286167,1.2395065963670608,-0.6668176841994482,1
-1.8873499435688603,-1.685124046491255,0.8628643680570895,-0.6181035247532161,0
0.591502499131364,0.509151741078294,2.724978890630564,1.7709654105070705,2
-0.7308615422314295,-2.048466903705819,0.7747474167527979,1.3135159390825495,2
-0.20186463070749106,-0.32742585479801845,1.0737758875530639,-0.28283357221967287,1
-0.24891425747299134,-2.2732781006424547,0.8958291388520621,0.5159246117136689,2
0.5450024948996448,-0.9831113618705548,1.590205063217021,0.6769016324882482,2
-0.9077001169019487,-0.7327520931708165,1.3654792166546077,-1.7715574930699116,1
-0.23508514923192048,-0.37800714420803894,-2.4992983127555854,-0.9661725341694392,0
0.18587587680317563,-1.1316786593647912,1.2161046837829272,1.2742012727367202,2
-0.9538532542154985,-0.6420050281680488,-1.0164608203869534,-0.15192269474863185,0
-1.0751058175723947,-2.1537888502079783,0.9279693401166378,0.47757568937057937,1
-1.0091440156463143,0.10110159242614314,0.6909145828954539,1.3092114533437822,2
-0.522398526774468,1.3935438419388007,2.0212458438889884,2.7170774470895642,2
